Date,Dischage,Name,Station,lon,lat,Basin_Area,Elevation
2014-10-01,0.173,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-02,0.110,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-03,0.110,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-04,0.110,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-05,0.110,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-06,0.085,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-07,0.110,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-08,0.110,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-09,0.110,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-10,0.085,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-11,0.085,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-12,0.110,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-13,0.110,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-14,0.085,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-15,0.085,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-16,0.110,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-17,0.110,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-18,0.214,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-19,0.364,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-20,0.257,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-21,0.173,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-22,0.173,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-23,0.139,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-24,0.139,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-25,0.139,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-26,0.139,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-27,0.308,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-28,0.173,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-29,0.173,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-30,0.139,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-10-31,0.257,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-01,0.746,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-02,0.576,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-03,0.430,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-04,0.308,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-05,0.308,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-06,0.257,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-07,0.214,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-08,0.214,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-09,0.214,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-10,0.214,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-11,0.214,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-12,0.173,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-13,0.173,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-14,0.173,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-15,0.173,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-16,0.173,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-17,0.173,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-18,0.173,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-19,0.173,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-20,0.173,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-21,0.364,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-22,7.88,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-23,1.59,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-24,0.746,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-25,0.503,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-26,1.19,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-27,4.21,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-28,1.45,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-29,0.844,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-11-30,0.746,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-01,1.07,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-02,1.19,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-03,1.59,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-04,1.07,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-05,0.844,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-06,0.746,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-07,0.660,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-08,0.576,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-09,0.503,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-10,0.430,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-11,0.364,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-12,0.308,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-13,0.430,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-14,0.576,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-15,0.430,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-16,0.364,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-17,0.308,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-18,0.308,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-19,0.308,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-20,0.257,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-21,0.257,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-22,0.308,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-23,0.257,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-24,0.257,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-25,0.257,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-26,0.257,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-27,0.257,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-28,0.257,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-29,0.257,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-30,0.257,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2014-12-31,0.257,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-01-01,0.660,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-01-02,1.19,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-01-03,0.844,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-01-04,0.844,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-01-05,0.954,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-01-06,1.07,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-01-07,1.33,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-01-08,1.07,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-01-09,1.07,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-01-10,1.07,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-01-11,1.07,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-01-12,1.07,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-01-13,1.90,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-01-14,1.90,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-01-15,1.45,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-01-16,1.33,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-01-17,1.19,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-01-18,1.19,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-01-19,1.07,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
